Size,Write Time (ms),Write Data Rate (bytes/s),Read Time (ms),Read Data Rate (bytes/s)
1,46,21.73913043,2,500
12,46,260.8695652,2,6000
128,46,2782.608696,3,42666.66667
256,46,5565.217391,3,85333.33333
512,45,11377.77778,2,256000
1024,46,22260.86957,3,341333.3333
2048,45,45511.11111,3,682666.6667
4096,48,85333.33333,6,682666.6667
8192,51,160627.451,11,744727.2727
16384,59,277694.9153,25,655360
32768,108,303407.4074,56,585142.8571
65536,178,368179.7753,116,564965.5172
131072,310,422812.9032,244,537180.3279
262144,600,436906.6667,491,533898.167
524288,1199,437271.0592,1075,487709.7674
1048576,2352,445823.1293,2026,517559.7236
2097152,4655,450516.0043,4196,499797.9028
4194304,9303,450854.993,8448,496484.8485
8388608,18601,450976.1841,17720,473397.7427
