Size,Write Time (ms),Write Data Rate (bytes/s),Read Time (ms),Read Data Rate (bytes/s)
1,40,21.73913043,2,500
12,41,260.8695652,2,6000
128,41,2782.608696,2,42666.66667
256,40,5565.217391,2,85333.33333
512,41,11377.77778,2,256000
1024,41,22260.86957,2,341333.3333
2048,40,45511.11111,2,682666.6667
4096,40,85333.33333,5,682666.6667
8192,41,160627.451,10,744727.2727
16384,45,277694.9153,20,655360
32768,91,303407.4074,44,585142.8571
65536,138,368179.7753,88,564965.5172
131072,233,422812.9032,193,537180.3279
262144,465,436906.6667,387,533898.167
524288,918,437271.0592,849,487709.7674
1048576,1795,445823.1293,1710,517559.7236
2097152,3550,450516.0043,3510,499797.9028
4194304,7083,450854.993,7386,496484.8485
8388608,14167,450976.1841,15583,473397.7427
